LON,LAT,EDO,CLAVE,ESTACION,nov-19
-111.353889,26.009722,BCS,BLORETO,"Bah�a de Loreto, B.C.S. SMN*",78.4
-111.658333,25.001389,BCS,CCNBS,"Ciudad Constituci�n, B.C.S.",96.9
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",179
-113.457222,27.6425,BCS,DIABN,"Gustavo D�az Ordaz, B.C.S. SMN*",29.8
-113.420833,27.783333,BCS,DORBS,"D�az Ordaz, B.C.S.",30.8
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",15.4
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",104
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",201
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",114.1
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",114.7
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",60.6
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cort�s, B.C.S. SEMAR*",121.8
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",153
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",172.2
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",148.4
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",23.4
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",136
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",217
-109.708333,23.118889,BCS,SJCBS,"San Jos� del Cabo, B.C.S.",264.5
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",156
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",182.9
-112.283333,27.3,BCS,SRLBS,"Santa Rosal�a, B.C.S.",41
-110.215556,23.446667,BCS,TODOSLOSSANTOS,"Todos los Santos, B.C.S. SMN*",67.2
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",223
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",29
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",52
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",36.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",48.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",226.3
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",139.2
-90.72,19.361667,CAMP,CHMCA,"Champot�n, Camp.",70
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",40
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",93.7
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",43.7
